"subjectID","age","target","domain","parcellation","beta","hemisphere","region","process","label"
"s030",10,"other","academic","102",-2.38711983650201,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",10,"other","social","102",4.19426211690966,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",13,"self","academic","102",0.412468201909521,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",13,"self","social","102",2.28055479068284,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",13,"other","academic","102",-0.104807316677791,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",13,"other","social","102",-1.39649454618474,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",16,"self","academic","102",-1.79461735433836,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",16,"self","social","102",0.281628919782828,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",16,"other","academic","102",-4.94898570648283,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s030",16,"other","social","102",-1.06582794897282,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s031",10,"self","academic","102",-1.47760209286462,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s031",10,"self","social","102",1.2723483989567,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s031",10,"other","academic","102",-1.50534603496234,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s031",10,"other","social","102",0.0127329308314998,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",10,"self","academic","102",-3.01478406707646,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",10,"self","social","102",1.01588602812812,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",10,"other","academic","102",-1.40092640531996,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",10,"other","social","102",3.00303697879607,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",13,"self","academic","102",0.360693854570869,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",13,"self","social","102",0.198155775327402,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",13,"other","academic","102",1.94267691851767,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",13,"other","social","102",0.435746857664441,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",16,"self","academic","102",-0.335224702561055,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",16,"self","social","102",4.23549732912718,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",16,"other","academic","102",0.902935421498876,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s032",16,"other","social","102",0.592467424535126,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",10,"self","academic","102",1.31005921467283,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",10,"self","social","102",1.43864908598175,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",10,"other","academic","102",1.62259716302001,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",10,"other","social","102",3.28198579625511,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",16,"self","academic","102",0.682258826240108,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",16,"self","social","102",0.196848528542275,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",16,"other","academic","102",1.04579911775413,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s033",16,"other","social","102",4.18261351225608,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s034",13,"self","academic","102",0.161667260351873,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s034",13,"self","social","102",1.88122732934125,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s034",13,"other","academic","102",-0.455538953457854,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s034",13,"other","social","102",0.755808621346369,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",10,"self","academic","102",0.501346277321927,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",10,"self","social","102",-1.15358921514726,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",10,"other","academic","102",0.242494320173942,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",10,"other","social","102",-2.35547199310795,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",13,"self","academic","102",-0.546339037607604,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",13,"self","social","102",1.82605244654742,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",13,"other","academic","102",0.877170918911272,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",13,"other","social","102",0.124896591290945,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",16,"self","academic","102",-1.34417132435286,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",16,"self","social","102",1.36236569175331,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",16,"other","academic","102",-4.61996077673621,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s035",16,"other","social","102",-3.58881390323049,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s036",10,"self","academic","102",-1.87743654225932,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s036",10,"self","social","102",1.48681778108487,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s036",10,"other","academic","102",0.62433685691647,"left","rmPFC_BA10","other","left_rmPFC_BA10"
